query_id,user_id,raw_query,query_timestamp,query_source,location_data,device_type,ip_address
9b67b12c-5c36-4174-b429-42c99769369b,user_20352966,red running shoes size 9,2025-07-28 09:51:31,website,"New York, USA",desktop,192.168.1.1
d4339b51-8eb9-404b-8606-aebc8e41eb18,user_33236949,bluetooth headphones noise cancelling,2025-07-28 09:51:31,mobile_app,"Los Angeles, USA",mobile,10.0.0.5
a5ecc7af-ad20-4215-9703-caeb49cbf1c0,user_72539860,men's leather wallet bifold,2025-07-28 09:51:31,website,"London, UK",tablet,203.0.113.10
862bf405-bb7f-43e2-b71b-1570388dba32,user_33676462,organic cotton t-shirt women,2025-07-28 09:51:31,mobile_app,"Paris, France",mobile,172.16.254.1
2be3b317-1540-4841-8470-393ff0f7b8fe,user_19269960,smartwatch compatible with android,2025-07-28 09:51:31,website,"Berlin, Germany",desktop,198.51.100.20
0250be7d-591c-4a68-9541-ec84970d096e,user_10371523,nike running shoes,2025-07-28 09:51:31,website,"New York, USA",desktop,192.168.1.1
580f2148-f826-42a9-a776-1fa9958add20,user_24820528,coffee maker single serve,2025-07-28 09:51:31,website,"Sydney, Australia",desktop,192.168.1.100
f0b06459-efb0-4aa4-bfb7-2571a94eb742,user_15968496,yoga mat non-slip,2025-07-28 09:51:31,mobile_app,"Tokyo, Japan",mobile,10.0.0.10
234978ee-9ab7-4e10-baa9-b82ea47f96ee,user_47205079,external hard drive 2tb,2025-07-28 09:51:31,website,"Toronto, Canada",desktop,203.0.113.50
b5a422a4-f1ab-4145-81e3-3a31c6589447,user_31799882,baby stroller lightweight,2025-07-28 09:51:31,mobile_app,"Rome, Italy",mobile,172.16.254.10
e0132d05-415f-48e4-8545-300275597d89,user_23829804,dog food grain free,2025-07-28 09:51:31,website,"Madrid, Spain",tablet,198.51.100.30
b03f3f37-b4f9-44c7-8d49-2d35b2ed1030,user_13707514,sony headphones,2025-07-28 09:51:31,mobile_app,"Los Angeles, USA",mobile,10.0.0.5
b238b53b-3015-41f3-a8f4-f23770aa1c2c,user_21021665,electric kettle stainless steel,2025-07-28 09:51:31,website,"Amsterdam, Netherlands",desktop,192.168.1.150
d3f2a271-32a6-4c53-8a87-aa1c2ab4a039,user_83195813,backpack for hiking,2025-07-28 09:51:31,mobile_app,"Vancouver, Canada",mobile,10.0.0.20
a2502ab9-cacb-455d-ae61-d22d3a967743,user_73756243,cordless vacuum cleaner,2025-07-28 09:51:31,website,"Dublin, Ireland",desktop,203.0.113.70
cc029faa-2165-42e6-9c94-727149b5c50c,user_32640658,skincare set anti-aging,2025-07-28 09:51:31,mobile_app,"Singapore, Singapore",mobile,172.16.254.20
ab8e6650-cbdc-453b-a7f2-e57445fd4243,user_66692303,camping tent 4 person,2025-07-28 09:51:31,website,"Stockholm, Sweden",desktop,198.51.100.40
6c8d62b4-5d38-4e02-a056-de765eb92898,user_46477423,men's wallets,2025-07-28 09:51:31,website,"London, UK",tablet,203.0.113.10
c4fff093-ddcb-4c47-ba3e-501379644cfa,user_15978991,garden hose expandable,2025-07-28 09:51:31,website,"Oslo, Norway",desktop,192.168.1.200
116786b0-788e-438c-bca3-d598679d5fda,user_15939268,portable power bank 20000mah,2025-07-28 09:51:31,mobile_app,"Helsinki, Finland",mobile,10.0.0.30
d61bb9c7-d105-4df5-9fd1-b899556b55d2,user_31735418,air fryer large capacity,2025-07-28 09:51:31,website,"Copenhagen, Denmark",desktop,203.0.113.90
a5a6c408-cf89-4e23-8eec-d9e8d65bf023,user_22537384,kids bicycle 16 inch,2025-07-28 09:51:31,mobile_app,"Warsaw, Poland",mobile,172.16.254.30
e8b2942a-2d1b-4fc5-b80d-86dd448fe684,user_58646255,indoor plant pots ceramic,2025-07-28 09:51:31,website,"Prague, Czech Republic",tablet,198.51.100.50
900b131a-96c9-4326-8483-2875d1a73f3c,user_16276840,women's t-shirts,2025-07-28 09:51:31,mobile_app,"Paris, France",mobile,172.16.254.1
5e491975-8f78-4c06-a496-80a0eb344a8b,user_16200076,gaming mouse rgb,2025-07-28 09:51:31,website,"Vienna, Austria",desktop,192.168.1.250
7f948818-9bef-454e-a352-102672f86071,user_19142954,electric toothbrush sonic,2025-07-28 09:51:31,mobile_app,"Brussels, Belgium",mobile,10.0.0.40
5d393545-75d1-409f-81a4-b713df9ebd5d,user_32103267,robot vacuum cleaner,2025-07-28 09:51:31,website,"Lisbon, Portugal",desktop,203.0.113.110
2b732ccf-706e-47a8-9467-54931487ee9a,user_81467193,car seat infant,2025-07-28 09:51:31,mobile_app,"Athens, Greece",mobile,172.16.254.40
d71b48e0-9ba5-4eeb-9b5e-c85cdde4d176,user_22862388,blender powerful,2025-07-28 09:51:31,website,"Budapest, Hungary",tablet,198.51.100.60
d48c7429-2eea-41d8-bd8c-d6896b24cdb6,user_31342544,smartwatches,2025-07-28 09:51:31,website,"Berlin, Germany",desktop,198.51.100.20
42d02c82-23ce-4c40-8fdc-6489d5eecbfe,user_44411237,kitchen knives set,2025-07-28 09:51:31,website,"Buenos Aires, Argentina",desktop,192.168.1.10
801fbe89-3073-4140-a077-c19294ee5e76,user_29891434,security camera outdoor wireless,2025-07-28 09:51:31,mobile_app,"Rio de Janeiro, Brazil",mobile,10.0.0.60
6b0d9cd3-06b8-4a0d-8d40-b9086a4a2e5f,user_16434320,pressure cooker electric,2025-07-28 09:51:31,website,"Mexico City, Mexico",desktop,203.0.113.130
69ea9293-8a46-4178-bb9b-53de93c2d485,user_21263935,gaming laptop rtx 3060,2025-07-28 09:51:31,mobile_app,"Seoul, South Korea",mobile,172.16.254.50
66183299-5e06-4205-b3f4-605c4432ccf0,user_24021346,luggage set lightweight,2025-07-28 09:51:31,website,"Shanghai, China",tablet,198.51.100.70
48948c63-bbc6-4f3d-a741-a0646b834af4,user_23161302,drip coffee maker,2025-07-28 09:51:31,website,"Sydney, Australia",desktop,192.168.1.100
e91dffd4-e442-44e0-b26b-bfa5897b58e2,user_14618280,smart thermostat nest,2025-07-28 09:51:31,website,"Mumbai, India",desktop,192.168.1.20
f28428e4-da53-46c0-af4b-b2f2f38c91a2,user_32984679,drone with camera 4k,2025-07-28 09:51:31,mobile_app,"Dubai, UAE",mobile,10.0.0.70
fcaff601-82e2-4cf2-8265-25dbab0b4e35,user_14277471,electric scooter adult,2025-07-28 09:51:31,website,"Cairo, Egypt",desktop,203.0.113.150
3376424d-b85f-4421-b396-58ce7a5d07dd,user_40529679,portable speaker bluetooth jbl,2025-07-28 09:51:31,mobile_app,"Cape Town, South Africa",mobile,172.16.254.60
76ba9c62-9f31-4025-938c-3802b7c67f30,user_14179631,espresso machine automatic,2025-07-28 09:51:31,website,"São Paulo, Brazil",tablet,198.51.100.80
1f71e292-466e-472f-9fcf-5138dd15ee0f,user_13777516,yoga accessories,2025-07-28 09:51:31,mobile_app,"Tokyo, Japan",mobile,10.0.0.10
f1fc6e43-aca1-4315-91ae-9f84f9076c52,user_78027113,water filter pitcher brita,2025-07-28 09:51:31,website,"Bangkok, Thailand",desktop,192.168.1.30
9a3d917c-fd2c-4b3a-9046-5bd9acd51f55,user_18478867,smart bulb philips hue,2025-07-28 09:51:31,mobile_app,"Kuala Lumpur, Malaysia",mobile,10.0.0.80
db546e3e-da52-4424-b00f-4fb6b24fda4c,user_22573168,electric guitar beginner kit,2025-07-28 09:51:31,website,"Jakarta, Indonesia",desktop,203.0.113.170
a679e00c-240a-44e8-a86a-e315c905f893,user_77366511,air purifier hepa filter,2025-07-28 09:51:31,mobile_app,"Manila, Philippines",mobile,172.16.254.70
11283725-92b6-43f8-a908-27f3eafcba31,user_27198343,desk chair ergonomic,2025-07-28 09:51:31,website,"Ho Chi Minh City, Vietnam",tablet,198.51.100.90
d5f8d480-7531-4659-b450-bd1496f1a8e2,user_19423127,portable storage,2025-07-28 09:51:31,website,"Toronto, Canada",desktop,203.0.113.50
6ecc3503-6916-450b-9af7-891f50826ddc,user_29657534,blu-ray player 4k,2025-07-28 09:51:31,website,"New Delhi, India",desktop,192.168.1.40
f0a834a8-f1fa-4242-80d3-683ca4e48318,user_97030145,virtual reality headset oculus,2025-07-28 09:51:31,mobile_app,"Istanbul, Turkey",mobile,10.0.0.90
441e66f2-7a65-4214-9e32-00ce81ba32ec,user_43838446,home theatre system soundbar,2025-07-28 09:51:31,website,"Moscow, Russia",desktop,203.0.113.190
66a89fd5-c510-4d81-9375-e6af251f5d4c,user_13664700,fitness tracker garmin,2025-07-28 09:51:31,mobile_app,"Beijing, China",mobile,172.16.254.80
4f12a206-f6ae-42a2-8b1f-73fb60ee3226,user_18226012,solar power bank,2025-07-28 09:51:31,website,"Tehran, Iran",tablet,198.51.100.100
af3ad297-a6e2-4b40-bc52-fdd8a3887845,user_32201900,baby gear,2025-07-28 09:51:31,mobile_app,"Rome, Italy",mobile,172.16.254.10
14db20a2-0f2e-413a-88df-4f60d35e4e2d,user_71553019,electric shaver philips,2025-07-28 09:51:31,website,"Cairo, Egypt",desktop,192.168.1.50
50ca9eff-4e5e-4461-a4e7-1a02665015f3,user_14741676,portable projector mini,2025-07-28 09:51:31,mobile_app,"Dhaka, Bangladesh",mobile,10.0.0.100
3e9f868c-1972-49e2-8f2f-949b9d21d42c,user_20200820,smart lock door,2025-07-28 09:51:31,website,"Lahore, Pakistan",desktop,203.0.113.210
72f41cb0-d9f3-47f9-bc55-61c306b6b3c4,user_14109764,digital camera mirrorless,2025-07-28 09:51:31,mobile_app,"Bogotá, Colombia",mobile,172.16.254.90
